Datetime,Adj close,Close,High,Low,Open,Volume
2025-03-19 03:45:00,1248.4000244140625,1248.4000244140625,1251.800048828125,1239.5,1242.9000244140625,0
2025-03-19 04:45:00,1245.8499755859375,1245.8499755859375,1251.300048828125,1245.1500244140625,1248.6500244140625,1518403
2025-03-19 05:45:00,1244.0,1244.0,1245.9000244140625,1242.3499755859375,1245.9000244140625,1148604
2025-03-19 06:45:00,1251.0,1251.0,1253.0,1243.5,1243.9000244140625,2205794
2025-03-19 07:45:00,1248.449951171875,1248.449951171875,1252.5,1247.9000244140625,1250.800048828125,1380002
2025-03-19 08:45:00,1247.949951171875,1247.949951171875,1249.5999755859375,1244.6500244140625,1248.449951171875,3517002
2025-03-19 09:45:00,1247.1500244140625,1247.1500244140625,1249.0,1246.300048828125,1247.949951171875,3180805
2025-03-20 03:45:00,1256.3499755859375,1256.3499755859375,1261.0,1250.0999755859375,1253.0,0
2025-03-20 04:45:00,1257.550048828125,1257.550048828125,1259.25,1254.8499755859375,1256.3499755859375,2843197
2025-03-20 05:45:00,1256.949951171875,1256.949951171875,1258.1500244140625,1253.5,1257.5,996274
2025-03-20 06:45:00,1262.050048828125,1262.050048828125,1262.199951171875,1255.300048828125,1257.0,1472269
2025-03-20 07:45:00,1270.3499755859375,1270.3499755859375,1272.949951171875,1260.25,1262.0999755859375,2965880
2025-03-20 08:45:00,1268.6500244140625,1268.6500244140625,1272.3499755859375,1267.050048828125,1270.050048828125,3564998
2025-03-20 09:45:00,1269.1500244140625,1269.1500244140625,1269.75,1268.0,1268.6500244140625,1294645
2025-03-21 03:45:00,1275.5,1275.5,1279.5,1271.199951171875,1274.5,0
2025-03-21 04:45:00,1276.949951171875,1276.949951171875,1280.3499755859375,1275.3499755859375,1275.449951171875,1448250
2025-03-21 05:45:00,1275.699951171875,1275.699951171875,1279.449951171875,1274.0,1276.949951171875,1146349
2025-03-21 06:45:00,1278.550048828125,1278.550048828125,1280.9000244140625,1275.0,1275.9000244140625,1204433
2025-03-21 07:45:00,1277.800048828125,1277.800048828125,1279.5,1274.9000244140625,1278.75,7993599
2025-03-21 08:45:00,1276.3499755859375,1276.3499755859375,1280.5,1274.1500244140625,1277.8499755859375,4830098
2025-03-21 09:45:00,1277.5,1277.5,1278.0,1275.4000244140625,1276.449951171875,3090949
2025-03-24 03:45:00,1288.699951171875,1288.699951171875,1294.449951171875,1284.25,1285.6500244140625,0
2025-03-24 04:45:00,1299.050048828125,1299.050048828125,1299.6500244140625,1288.25,1288.75,3128093
2025-03-24 05:45:00,1302.5,1302.5,1305.8499755859375,1298.5999755859375,1298.8499755859375,3349761
2025-03-24 06:45:00,1299.949951171875,1299.949951171875,1303.3499755859375,1295.300048828125,1302.9000244140625,1585848
2025-03-24 07:45:00,1302.75,1302.75,1304.8499755859375,1299.0,1299.9000244140625,2798574
2025-03-24 08:45:00,1302.0,1302.0,1302.9000244140625,1299.0,1302.699951171875,3159225
2025-03-24 09:45:00,1302.6500244140625,1302.6500244140625,1305.0,1301.550048828125,1302.0,1691865
2025-03-25 03:45:00,1293.800048828125,1293.800048828125,1306.5,1290.1500244140625,1304.75,0
2025-03-25 04:45:00,1288.8499755859375,1288.8499755859375,1296.5,1285.449951171875,1293.5999755859375,1611321
2025-03-25 05:45:00,1289.4000244140625,1289.4000244140625,1293.0,1284.3499755859375,1288.8499755859375,1375596
2025-03-25 06:45:00,1287.699951171875,1287.699951171875,1291.1500244140625,1286.8499755859375,1289.449951171875,987363
2025-03-25 07:45:00,1294.300048828125,1294.300048828125,1294.75,1286.199951171875,1287.699951171875,1068087
2025-03-25 08:45:00,1284.550048828125,1284.550048828125,1295.0999755859375,1282.5999755859375,1294.25,3736210
2025-03-25 09:45:00,1285.449951171875,1285.449951171875,1287.699951171875,1283.75,1284.5999755859375,1644296
2025-03-26 03:45:00,1283.199951171875,1283.199951171875,1292.199951171875,1280.449951171875,1291.1500244140625,0
2025-03-26 04:45:00,1282.0999755859375,1282.0999755859375,1284.5999755859375,1279.300048828125,1283.4000244140625,1272716
2025-03-26 05:45:00,1277.699951171875,1277.699951171875,1284.75,1276.0,1282.199951171875,1033270
2025-03-26 06:45:00,1280.0,1280.0,1285.1500244140625,1274.75,1277.699951171875,2399047
2025-03-26 07:45:00,1279.800048828125,1279.800048828125,1282.0,1277.25,1279.949951171875,1537633
2025-03-26 08:45:00,1274.0,1274.0,1281.4000244140625,1270.5,1279.800048828125,2689613
2025-03-26 09:45:00,1270.9000244140625,1270.9000244140625,1274.0999755859375,1269.1500244140625,1274.050048828125,1125041
2025-03-27 03:45:00,1282.800048828125,1282.800048828125,1284.800048828125,1272.699951171875,1277.699951171875,0
2025-03-27 04:45:00,1280.949951171875,1280.949951171875,1285.0,1277.75,1283.5,1962986
2025-03-27 05:45:00,1275.8499755859375,1275.8499755859375,1281.699951171875,1274.5999755859375,1281.0,1193060
2025-03-27 06:45:00,1275.300048828125,1275.300048828125,1277.550048828125,1273.050048828125,1275.550048828125,885160
2025-03-27 07:45:00,1279.050048828125,1279.050048828125,1279.9000244140625,1273.699951171875,1274.949951171875,1141980
2025-03-27 08:45:00,1278.699951171875,1278.699951171875,1284.25,1275.0,1279.300048828125,4358097
2025-03-27 09:45:00,1278.199951171875,1278.199951171875,1283.0,1276.8499755859375,1278.6500244140625,2603387
2025-03-28 03:45:00,1283.1500244140625,1283.1500244140625,1289.0999755859375,1278.9000244140625,1282.050048828125,0
2025-03-28 04:45:00,1291.6500244140625,1291.6500244140625,1295.75,1283.0,1283.0,1406512
2025-03-28 05:45:00,1290.0,1290.0,1292.949951171875,1289.0,1291.5999755859375,935456
2025-03-28 06:45:00,1276.199951171875,1276.199951171875,1290.5999755859375,1269.3499755859375,1290.0,8314404
2025-03-28 07:45:00,1275.3499755859375,1275.3499755859375,1276.9000244140625,1270.050048828125,1276.050048828125,1445877
2025-03-28 08:45:00,1277.199951171875,1277.199951171875,1282.550048828125,1274.0999755859375,1275.199951171875,3264569
2025-03-28 09:45:00,1274.5,1274.5,1277.300048828125,1273.0,1277.300048828125,1306036
2025-04-01 03:45:00,1271.9000244140625,1271.9000244140625,1277.9000244140625,1265.0,1265.0,0
2025-04-01 04:45:00,1259.699951171875,1259.699951171875,1273.0999755859375,1256.5999755859375,1271.800048828125,2383410
2025-04-01 05:45:00,1260.199951171875,1260.199951171875,1263.8499755859375,1259.0,1259.699951171875,1200395
2025-04-01 06:45:00,1258.199951171875,1258.199951171875,1262.8499755859375,1257.1500244140625,1260.199951171875,845008
2025-04-01 07:45:00,1252.0,1252.0,1259.0,1251.449951171875,1258.1500244140625,1125881
2025-04-01 08:45:00,1253.3499755859375,1253.3499755859375,1255.699951171875,1249.5999755859375,1252.0,2334396
2025-04-01 09:45:00,1254.0,1254.0,1254.0,1251.0999755859375,1253.449951171875,1204159
2025-04-02 03:45:00,1251.800048828125,1251.800048828125,1253.550048828125,1243.9000244140625,1253.550048828125,0
2025-04-02 04:45:00,1253.949951171875,1253.949951171875,1255.550048828125,1251.25,1251.800048828125,1212248
2025-04-02 05:45:00,1251.5999755859375,1251.5999755859375,1254.0,1249.25,1253.5,1386780
2025-04-02 06:45:00,1252.949951171875,1252.949951171875,1254.5,1249.5999755859375,1251.5,1153559
2025-04-02 07:45:00,1249.300048828125,1249.300048828125,1255.0,1249.0,1253.0,980698
2025-04-02 08:45:00,1251.0999755859375,1251.0999755859375,1252.0,1248.0999755859375,1249.3499755859375,1740945
2025-04-02 09:45:00,1251.949951171875,1251.949951171875,1253.0,1250.75,1251.1500244140625,1055242
2025-04-03 03:45:00,1245.8499755859375,1245.8499755859375,1246.300048828125,1238.0999755859375,1238.25,0
2025-04-03 04:45:00,1247.6500244140625,1247.6500244140625,1249.050048828125,1243.300048828125,1246.0,816265
2025-04-03 05:45:00,1248.1500244140625,1248.1500244140625,1249.25,1244.75,1248.0,1081125
2025-04-03 06:45:00,1248.4000244140625,1248.4000244140625,1249.0,1247.050048828125,1248.5,893986
2025-04-03 07:45:00,1248.0999755859375,1248.0999755859375,1251.75,1246.300048828125,1248.4000244140625,817594
2025-04-03 08:45:00,1248.3499755859375,1248.3499755859375,1249.5,1246.5,1248.1500244140625,1204509
2025-04-03 09:45:00,1248.550048828125,1248.550048828125,1251.0,1247.550048828125,1248.4000244140625,614059
2025-04-04 03:45:00,1208.800048828125,1208.800048828125,1245.0999755859375,1208.0,1242.0,0
2025-04-04 04:45:00,1200.550048828125,1200.550048828125,1211.8499755859375,1196.0,1208.5999755859375,4148436
2025-04-04 05:45:00,1195.0999755859375,1195.0999755859375,1201.0,1193.1500244140625,1200.550048828125,2392931
2025-04-04 06:45:00,1199.0999755859375,1199.0999755859375,1199.6500244140625,1194.550048828125,1195.0999755859375,1431709
2025-04-04 07:45:00,1200.0,1200.0,1200.9000244140625,1195.3499755859375,1199.0,1916134
2025-04-04 08:45:00,1204.4000244140625,1204.4000244140625,1205.949951171875,1199.0,1200.0,2090180
2025-04-04 09:45:00,1205.9000244140625,1205.9000244140625,1205.949951171875,1204.050048828125,1204.5,866912
2025-04-07 03:45:00,1142.550048828125,1142.550048828125,1155.5999755859375,1116.6500244140625,1126.0,0
2025-04-07 04:45:00,1153.5999755859375,1153.5999755859375,1157.449951171875,1142.4000244140625,1142.8499755859375,2141633
2025-04-07 05:45:00,1148.25,1148.25,1157.949951171875,1147.4000244140625,1153.5999755859375,1797381
2025-04-07 06:45:00,1147.949951171875,1147.949951171875,1153.5999755859375,1143.199951171875,1148.25,3842699
2025-04-07 07:45:00,1154.800048828125,1154.800048828125,1157.550048828125,1144.1500244140625,1147.449951171875,2491299
2025-04-07 08:45:00,1166.699951171875,1166.699951171875,1170.5999755859375,1153.25,1154.6500244140625,3438451
2025-04-07 09:45:00,1171.0999755859375,1171.0999755859375,1171.0999755859375,1160.6500244140625,1167.199951171875,1333208
2025-04-08 03:45:00,1169.449951171875,1169.449951171875,1186.199951171875,1168.0,1178.699951171875,0
2025-04-08 04:45:00,1178.0999755859375,1178.0999755859375,1179.9000244140625,1163.550048828125,1169.4000244140625,3086814
2025-04-08 05:45:00,1184.0,1184.0,1184.0,1168.6500244140625,1178.0,2012254
2025-04-08 06:45:00,1189.5999755859375,1189.5999755859375,1196.550048828125,1180.25,1184.699951171875,2345178
2025-04-08 07:45:00,1185.9000244140625,1185.9000244140625,1191.5,1174.3499755859375,1189.5999755859375,2462568
2025-04-08 08:45:00,1182.8499755859375,1182.8499755859375,1191.050048828125,1181.550048828125,1186.199951171875,3499276
2025-04-08 09:45:00,1181.199951171875,1181.199951171875,1182.8499755859375,1179.5,1182.8499755859375,1791018
2025-04-09 03:45:00,1181.3499755859375,1181.3499755859375,1185.0,1169.949951171875,1173.4000244140625,0
2025-04-09 04:45:00,1187.5999755859375,1187.5999755859375,1187.8499755859375,1181.1500244140625,1181.25,1227526
2025-04-09 05:45:00,1184.4000244140625,1184.4000244140625,1189.5,1184.050048828125,1187.5,815846
2025-04-09 06:45:00,1185.050048828125,1185.050048828125,1186.699951171875,1183.050048828125,1184.449951171875,920579
2025-04-09 07:45:00,1185.050048828125,1185.050048828125,1185.9000244140625,1181.4000244140625,1185.050048828125,1382739
